Technology,Capacity_GWh,Utilization,CAPEX_bilEUR,OM_bilEUR,Share_ren,Extension
Solar PV,0.0,NaN,0.0,0.0,0.0,1
Wind Onshore,0.0,NaN,0.0,0.0,0.0,1
Wind Offshore,0.0,NaN,0.0,0.0,0.0,1
H2 cavern,0.0,NaN,0.0,0.0,0.0,1
H2 tank,0.0,NaN,0.0,0.0,0.0,1
Li-ion battery,0.0,NaN,0.0,0.0,0.0,1
Redox flow batteries,0.0,NaN,0.0,0.0,0.0,1
Biogas,0.0,NaN,0.0,0.0,0.0,1
Brown coal,0.0,NaN,0.0,0.0,0.0,1
Hard coal,0.0,NaN,0.0,0.0,0.0,1
CCGT,0.0,NaN,0.0,0.0,0.0,1
GT,5.61,0.6967407796451914,2.805,0.044715849199999956,0.0,1
Solar PV,6.423256946774466,0.11151488095238096,4.496279862742127,0.0044962798627421275,60.0,1
Wind Onshore,5.989669385250142,0.28893792103692334,10.481921424187748,0.013002562465072387,60.0,1
Wind Offshore,0.0,NaN,0.0,0.0,60.0,1
H2 cavern,0.26878361946426105,0.949330126342977,0.29730561434031255,0.0,60.0,1
H2 tank,0.0,NaN,0.0,0.0,60.0,1
Li-ion battery,0.20414495696143592,0.0888343783447086,0.07729987886932276,0.0,60.0,1
Redox flow batteries,0.6964340777128688,0.7384886225107908,0.48227598544692485,0.0,60.0,1
Biogas,0.0,NaN,0.0,0.0,60.0,1
Brown coal,0.0,NaN,0.0,0.0,60.0,1
Hard coal,0.0,NaN,0.0,0.0,60.0,1
CCGT,0.0,NaN,0.0,0.0,60.0,1
GT,4.014681442051563,0.3894421841661354,2.0073407210257814,0.019066793974701048,60.0,1
Solar PV,8.323402593399347,0.11151488095238095,5.826381815379544,0.005826381815379543,80.0,1
Wind Onshore,8.121208653363087,0.28893792103692334,14.212115143385402,0.017629774869924637,80.0,1
Wind Offshore,0.0,NaN,0.0,0.0,80.0,1
H2 cavern,1.8693994746708218,0.6201514532826559,2.104197049576744,0.0,80.0,1
H2 tank,0.0,NaN,0.0,0.0,80.0,1
Li-ion battery,0.19814676510949258,0.44738404861490094,0.07502865203868511,0.0,80.0,1
Redox flow batteries,0.5408073737908734,0.5787239149987602,0.3458608689595452,0.0,80.0,1
Biogas,0.0,NaN,0.0,0.0,80.0,1
Brown coal,0.0,NaN,0.0,0.0,80.0,1
Hard coal,0.0,Inf,0.0,-1.7127604223787787e-20,80.0,1
CCGT,0.0,NaN,0.0,0.0,80.0,1
GT,2.449728453728154,0.31911420776951793,1.224864226864077,0.009828322142485454,80.0,1
Solar PV,9.810058370693076,0.11151488095238095,6.8670408594851535,0.006867040859485154,95.0,1
Wind Onshore,9.745391842707082,0.2889379210369233,17.054435724737395,0.021155602760554337,95.0,1
Wind Offshore,0.0,NaN,0.0,0.0,95.0,1
H2 cavern,2.980624151579327,0.6320546461727486,3.3777496503621838,0.0,95.0,1
H2 tank,0.0,NaN,0.0,0.0,95.0,1
Li-ion battery,0.19357628286779807,0.4688653254077579,0.07329803018588021,0.0,95.0,1
Redox flow batteries,0.5194385991195055,0.5779009893729928,0.32164813648395224,0.0,95.0,1
Biogas,0.0,NaN,0.0,0.0,95.0,1
Brown coal,0.0,NaN,0.0,0.0,95.0,1
Hard coal,0.0,NaN,0.0,0.0,95.0,1
CCGT,0.0,NaN,0.0,0.0,95.0,1
GT,1.2684629066571265,0.15407292374478884,0.6342314533285632,0.0028944343977714265,95.0,1
Solar PV,10.908864296480607,0.11151488095238093,7.636205007536424,0.007636205007536425,100.0,1
Wind Onshore,9.687464559906854,0.28893792103692334,16.953062979836997,0.02102985239528431,100.0,1
Wind Offshore,0.0,NaN,0.0,0.0,100.0,1
H2 cavern,3.338394931988514,0.6793236627020914,3.784498528824628,0.0,100.0,1
H2 tank,0.0,NaN,0.0,0.0,100.0,1
Li-ion battery,0.1937392913381843,0.3640292631093833,0.07335975365533585,0.0,100.0,1
Redox flow batteries,1.4333908947754905,0.5501906268248917,1.2409455198346102,0.0,100.0,1
Biogas,0.0,NaN,0.0,0.0,100.0,1
Brown coal,0.0,NaN,0.0,0.0,100.0,1
Hard coal,0.0,NaN,0.0,0.0,100.0,1
CCGT,0.0,NaN,0.0,0.0,100.0,1
GT,0.0,NaN,0.0,0.0,100.0,1
