Technology,Capacity_GW,Utilization,CAPEX_bilEUR,OM_bilEUR,Share_ren,Extension
Solar PV,0.0,NaN,0.0,0.0,0.0,0
Wind Onshore,-2.2644680186180743e-14,0.28891241518352023,-3.9628190325816304e-14,-1.8282652328394803e-14,0.0,0
Wind Offshore,0.0,NaN,0.0,0.0,0.0,0
Biogas,0.0,NaN,0.0,0.0,0.0,0
Brown coal,0.0,NaN,0.0,0.0,0.0,0
Hard coal,0.0,NaN,0.0,0.0,0.0,0
CCGT,0.0,NaN,0.0,0.0,0.0,0
GT,6.171000000000019,0.6967407796451903,3.08550000000001,2.809681434120009,0.0,0
Solar PV,0.0,NaN,0.0,0.0,0.6,0
Wind Onshore,12.186860365242284,0.28893792103692334,21.327005639173997,9.839315585420325,0.6,0
Wind Offshore,0.0,NaN,0.0,0.0,0.6,0
Biogas,0.0,NaN,0.0,0.0,0.6,0
Brown coal,-9.094947017729283e-16,0.6735026041666666,-1.7280399333685638e-15,-5.524539753309934e-16,0.6,0
Hard coal,0.0,NaN,0.0,0.0,0.6,0
CCGT,0.0,NaN,0.0,0.0,0.6,0
GT,5.371624828761585,0.32017033864084915,2.6858124143807927,2.4245172969331894,0.6,0
Solar PV,1.175582965756578,0.01200960574576783,0.8229080760296046,0.5529942270918922,0.8,0
Wind Onshore,28.5,0.2889379210369234,49.875,23.0100686953185,0.8,0
Wind Offshore,0.0,NaN,0.0,0.0,0.8,0
Biogas,0.0,NaN,0.0,0.0,0.8,0
Brown coal,0.0,NaN,0.0,0.0,0.8,0
Hard coal,0.0,NaN,0.0,0.0,0.8,0
CCGT,0.0,NaN,0.0,0.0,0.8,0
GT,4.794546962681285,0.17935322709972967,2.397273481340643,2.156971726105218,0.8,0
Solar PV,29.956731914463422,0.0044384996607451516,20.969712340124396,14.09164669256349,0.95,0
Wind Onshore,28.5,0.2889379210369234,49.875,23.0100686953185,0.95,0
Wind Offshore,62.85528499403422,0.2889379210369234,245.1356114767335,169.01602794921516,0.95,0
Biogas,0.0,-Inf,0.0,-5.167066774447449e-21,0.95,0
Brown coal,-5.684341886080802e-17,0.10863095238095238,-1.0800249583553524e-16,-3.440300872625821e-17,0.95,0
Hard coal,0.0,NaN,0.0,0.0,0.95,0
CCGT,0.0,NaN,0.0,0.0,0.95,0
GT,4.444984107122998,0.04836448508669016,2.222492053561499,1.993606551697094,0.95,0
