,Hours,DK1,DK2,DK
01/01/2018,00 - 01,1813,1607,3420
01/01/2018,01 - 02,1741,1565,3306
01/01/2018,02 - 03,1659,1457,3116
01/01/2018,03 - 04,1595,1426,3021
01/01/2018,04 - 05,1537,1382,2919
01/01/2018,05 - 06,1508,1296,2804
01/01/2018,06 - 07,1581,1265,2846
01/01/2018,07 - 08,1637,1308,2945
01/01/2018,08 - 09,1699,1314,3013
01/01/2018,09 - 10,1881,1351,3232
01/01/2018,10 - 11,1979,1456,3435
01/01/2018,11 - 12,2043,1529,3572
01/01/2018,12 - 13,2096,1553,3649
01/01/2018,13 - 14,2041,1566,3607
01/01/2018,14 - 15,2135,1607,3742
01/01/2018,15 - 16,2120,1613,3733
01/01/2018,16 - 17,2237,1748,3985
01/01/2018,17 - 18,2446,1825,4271
01/01/2018,18 - 19,2399,1785,4184
01/01/2018,19 - 20,2242,1706,3948
01/01/2018,20 - 21,2100,1627,3727
01/01/2018,21 - 22,1969,1507,3476
01/01/2018,22 - 23,1855,1409,3264
01/01/2018,23 - 00,1728,1340,3068
02/01/2018,00 - 01,1644,1245,2889
02/01/2018,01 - 02,1623,1202,2825
02/01/2018,02 - 03,1603,1179,2782
02/01/2018,03 - 04,1615,1180,2795
02/01/2018,04 - 05,1664,1247,2911
02/01/2018,05 - 06,1756,1343,3099
02/01/2018,06 - 07,2091,1551,3642
02/01/2018,07 - 08,2484,1741,4225
02/01/2018,08 - 09,2733,1863,4596
02/01/2018,09 - 10,2790,1902,4692
02/01/2018,10 - 11,2825,1943,4768
02/01/2018,11 - 12,2787,1943,4730
02/01/2018,12 - 13,2712,1927,4639
02/01/2018,13 - 14,2721,1907,4628
02/01/2018,14 - 15,2725,1888,4613
02/01/2018,15 - 16,2706,1887,4593
02/01/2018,16 - 17,2858,2055,4913
02/01/2018,17 - 18,3098,2175,5273
02/01/2018,18 - 19,2933,2085,5018
02/01/2018,19 - 20,2710,1928,4638
02/01/2018,20 - 21,2503,1797,4300
02/01/2018,21 - 22,2328,1717,4045
02/01/2018,22 - 23,2159,1573,3732
02/01/2018,23 - 00,1996,1450,3446
03/01/2018,00 - 01,1915,1353,3268
03/01/2018,01 - 02,1887,1261,3148
03/01/2018,02 - 03,1835,1167,3002
03/01/2018,03 - 04,1849,1113,2962
03/01/2018,04 - 05,1913,1154,3067
03/01/2018,05 - 06,2066,1388,3454
03/01/2018,06 - 07,2370,1600,3970
03/01/2018,07 - 08,2779,1857,4636
03/01/2018,08 - 09,3035,1989,5024
03/01/2018,09 - 10,3058,2013,5071
03/01/2018,10 - 11,3143,2024,5167
03/01/2018,11 - 12,3089,2030,5119
03/01/2018,12 - 13,2992,2065,5057
03/01/2018,13 - 14,2934,2048,4982
03/01/2018,14 - 15,2955,2030,4985
03/01/2018,15 - 16,2897,2014,4911
03/01/2018,16 - 17,2999,2114,5113
03/01/2018,17 - 18,3184,2261,5445
03/01/2018,18 - 19,3039,2221,5260
03/01/2018,19 - 20,2839,2076,4915
03/01/2018,20 - 21,2652,1919,4571
03/01/2018,21 - 22,2481,1798,4279
03/01/2018,22 - 23,2306,1662,3968
03/01/2018,23 - 00,2097,1526,3623
04/01/2018,00 - 01,1978,1422,3400
04/01/2018,01 - 02,1923,1325,3248
04/01/2018,02 - 03,1904,1277,3181
04/01/2018,03 - 04,1904,1289,3193
04/01/2018,04 - 05,1933,1310,3243
04/01/2018,05 - 06,2073,1434,3507
04/01/2018,06 - 07,2483,1655,4138
04/01/2018,07 - 08,2939,1866,4805
04/01/2018,08 - 09,3107,1960,5067
04/01/2018,09 - 10,3040,1971,5011
04/01/2018,10 - 11,3043,1998,5041
04/01/2018,11 - 12,2984,2014,4998
04/01/2018,12 - 13,2914,2004,4918
04/01/2018,13 - 14,2979,1993,4972
04/01/2018,14 - 15,2963,1974,4937
04/01/2018,15 - 16,2917,1982,4899
04/01/2018,16 - 17,3040,2110,5150
04/01/2018,17 - 18,3256,2282,5538
04/01/2018,18 - 19,3096,2221,5317
04/01/2018,19 - 20,2879,2066,4945
04/01/2018,20 - 21,2678,1921,4599
04/01/2018,21 - 22,2518,1787,4305
04/01/2018,22 - 23,2326,1627,3953
04/01/2018,23 - 00,2122,1503,3625
05/01/2018,00 - 01,1995,1423,3418
05/01/2018,01 - 02,1946,1355,3301
05/01/2018,02 - 03,1912,1337,3249
05/01/2018,03 - 04,1911,1315,3226
05/01/2018,04 - 05,1973,1334,3307
05/01/2018,05 - 06,2119,1425,3544
05/01/2018,06 - 07,2537,1660,4197
05/01/2018,07 - 08,2932,1898,4830
05/01/2018,08 - 09,3089,2020,5109
05/01/2018,09 - 10,3058,2054,5112
05/01/2018,10 - 11,3093,2081,5174
05/01/2018,11 - 12,3069,2056,5125
05/01/2018,12 - 13,2945,2033,4978
05/01/2018,13 - 14,2870,2001,4871
05/01/2018,14 - 15,2755,1966,4721
05/01/2018,15 - 16,2681,1944,4625
05/01/2018,16 - 17,2817,2064,4881
05/01/2018,17 - 18,3028,2200,5228
05/01/2018,18 - 19,2898,2137,5035
05/01/2018,19 - 20,2673,1995,4668
05/01/2018,20 - 21,2490,1864,4354
05/01/2018,21 - 22,2336,1742,4078
05/01/2018,22 - 23,2187,1631,3818
05/01/2018,23 - 00,2050,1529,3579
06/01/2018,00 - 01,1916,1442,3358
06/01/2018,01 - 02,1829,1369,3198
06/01/2018,02 - 03,1787,1344,3131
06/01/2018,03 - 04,1800,1340,3140
06/01/2018,04 - 05,1830,1338,3168
06/01/2018,05 - 06,1876,1353,3229
06/01/2018,06 - 07,1996,1414,3410
06/01/2018,07 - 08,2151,1523,3674
06/01/2018,08 - 09,2344,1651,3995
06/01/2018,09 - 10,2458,1773,4231
06/01/2018,10 - 11,2500,1868,4368
06/01/2018,11 - 12,2468,1882,4350
06/01/2018,12 - 13,2410,1865,4275
06/01/2018,13 - 14,2381,1850,4231
06/01/2018,14 - 15,2376,1826,4202
06/01/2018,15 - 16,2390,1812,4202
06/01/2018,16 - 17,2544,1932,4476
06/01/2018,17 - 18,2812,2069,4881
06/01/2018,18 - 19,2765,2049,4814
