GrossCon,HourUTC,ElectricBoilerCon,HourDK,LocalPowerProd,NetCon,ExchangeGreatBelt,OffshoreWindPower,CentralProd,ExchangeNordicCountries,ExchangeContinent,OnshoreWindPower,PriceArea,SolarPowerProd
2600.671566,2018-06-29T11:00:00+00:00,14.171922,2018-06-29T13:00:00,260.958889,2565.604319,-69,451.360430926317,39.056574,-1.77199999999999,706.81,733.257672073683,DK1,480
2586.330917,2018-07-06T11:00:00+00:00,3.087463,2018-07-06T13:00:00,294.427057,2516.680906,-591.6,736.896933527585,39.070305,-716.833,320.3,2030.06982147242,DK1,474
2363.689198,2018-06-05T11:00:00+00:00,20.480679,2018-06-05T13:00:00,250.414674,2282.579498,-583.5,113.319731327812,47.34429,1933.756,-369.1,498.454502672188,DK1,473
2133.270297,2018-07-07T11:00:00+00:00,3.07622,2018-07-07T13:00:00,213.696982,2020.973475,-395.8,578.15481439701,30.408555,-1679.085,1515.54,1399.35494560299,DK1,471
2830.898289,2018-07-02T11:00:00+00:00,0.07047,2018-07-02T13:00:00,306.47021,2741.813822,-590.3,83.7668599988613,391.754527,1283.766,622.27,264.170892001139,DK1,469
2474.296627,2018-06-29T12:00:00+00:00,14.311841,2018-06-29T14:00:00,253.222751,2440.272203,-313.6,488.520355833337,36.749602,36.704,683.63,820.069918166663,DK1,469
2651.497654,2018-05-08T11:00:00+00:00,4.555339,2018-05-08T13:00:00,252.202839,2600.138647,-256.3,336.291606561817,237.819548,-687.16,1439.16,860.483660438183,DK1,469
2061.30583,2018-05-05T11:00:00+00:00,82.818825,2018-05-05T13:00:00,236.53663,2015.362516,-341.3,33.9186404940977,143.423591,-272.712,1491.91,301.528968505902,DK1,468
2812.312733,2018-05-24T11:00:00+00:00,0.910875,2018-05-24T13:00:00,229.066044,2756.746194,-371.2,189.286381891205,316.288873,711.476,646.06,623.335434108795,DK1,468
2219.812242,2018-05-11T10:00:00+00:00,1.732975,2018-05-11T12:00:00,296.729684,2157.147738,38.9,82.6335556299236,386.596185,1579.949,-894.36,261.363817370076,DK1,468
2919.728403,2018-06-07T11:00:00+00:00,2.010117,2018-06-07T13:00:00,216.377634,2831.455745,-541.5,70.3791653153198,348.6339,1609.07,542.83,206.93770368468,DK1,467
2630.39641,2018-05-07T11:00:00+00:00,9.198401,2018-05-07T13:00:00,273.581148,2593.412002,-57,163.418165317289,246.117499,496.867,787.87,252.542597682711,DK1,467
2670.843849,2018-06-29T10:00:00+00:00,14.589741,2018-06-29T12:00:00,272.682076,2637.769085,-413.9,372.876589454784,31.458736,475.799,691.56,774.367447545216,DK1,466
2180.352272,2018-05-11T11:00:00+00:00,1.547123,2018-05-11T13:00:00,300.539329,2121.721326,101,48.4850928119735,374.618379,1578.468,-952.3,264.541471188026,DK1,465
2658.254064,2018-07-06T10:00:00+00:00,4.279468,2018-07-06T12:00:00,278.62836,2583.657098,-591.7,760.416941617233,33.904436,-282.371,-38.85,2033.22552638277,DK1,465
2798.080682,2018-05-09T11:00:00+00:00,120.132761,2018-05-09T13:00:00,266.59931,2745.692845,-591.9,549.795816569972,77.820096,900.455,-158.27,1288.58045943003,DK1,465
2489.150574,2018-07-06T12:00:00+00:00,3.247696,2018-07-06T14:00:00,296.272065,2409.241413,-591.7,729.997476512623,36.590121,-1177.19,661.26,2068.92111148738,DK1,465
1921.641996,2018-05-06T11:00:00+00:00,3.612824,2018-05-06T13:00:00,227.667757,1875.542638,-32,83.6777471115143,144.947006,-577.324,1514.02,96.6534858884857,DK1,464
2168.104736,2018-07-07T10:00:00+00:00,3.11991,2018-07-07T12:00:00,215.303627,2054.15681,-391.1,614.446373207848,31.613072,-1749.859,1533.41,1450.29066379215,DK1,464
2568.523727,2018-06-05T10:00:00+00:00,169.448866,2018-06-05T12:00:00,251.367304,2466.184425,-591.6,113.387904764181,42.218063,2064.473,-370.8,595.477455235819,DK1,464
2845.593142,2018-06-28T11:00:00+00:00,1.471734,2018-06-28T13:00:00,490.051698,2779.511243,-371.2,15.7969270642544,357.2811,1543.894,166.15,180.619216935746,DK1,463
2778.486944,2018-05-24T10:00:00+00:00,1.664417,2018-05-24T12:00:00,226.906437,2721.02559,-371.2,164.14721035237,334.227418,818.272,658.9,485.23387864763,DK1,462
2486.7797,2018-05-04T11:00:00+00:00,0.126883,2018-05-04T13:00:00,373.56846,2441.29563,-591.7,42.1612524307605,571.153788,749.494,658.74,221.362199569239,DK1,462
2110.076677,2018-06-30T11:00:00+00:00,13.23129,2018-06-30T13:00:00,229.060888,2066.774422,-102.8,86.992089633842,33.187037,-455.828,1526.81,330.654862366158,DK1,462
2099.218644,2018-05-05T10:00:00+00:00,71.860089,2018-05-05T12:00:00,239.271929,2055.097003,-385.9,40.4899454800678,161.016387,-185.969,1464.57,304.739382519932,DK1,461
2846.976758,2018-07-03T11:00:00+00:00,4.623191,2018-07-03T13:00:00,286.966811,2760.276502,-584,121.590806564917,423.365683,1096.132,640.32,402.601657435082,DK1,460
2807.804318,2018-07-02T10:00:00+00:00,0.061979,2018-07-02T12:00:00,308.017407,2714.076696,-586.4,67.6819217125849,389.956048,1412.731,579.61,176.207941287415,DK1,460
2138.920593,2018-06-30T10:00:00+00:00,13.173348,2018-06-30T12:00:00,240.430407,2097.162892,-28.9,25.8124799445786,30.863239,-413.112,1513.29,311.536467055421,DK1,459
