,Hours,NO net exchange,SE net exchange,FI net exchange,DK,EE net exchange,LV net exchange,LT net exchange
01/01/2018,00 - 01,2859,-1962,1695,-190,-113,163,513
01/01/2018,01 - 02,2465,-1341,1491,-283,-158,300,475
01/01/2018,02 - 03,3144,-1202,1421,-165,-243,277,493
01/01/2018,03 - 04,4034,-1292,1410,-340,-263,259,511
01/01/2018,04 - 05,4069,-1478,1538,-437,-268,238,521
01/01/2018,05 - 06,4047,-1510,1732,-348,-267,18,498
01/01/2018,06 - 07,3937,-1615,1697,-425,-173,-56,604
01/01/2018,07 - 08,3590,-1630,1871,-346,-129,-138,494
01/01/2018,08 - 09,4333,-1868,1894,-436,-106,-198,483
01/01/2018,09 - 10,4390,-2046,2059,-422,-60,-230,526
01/01/2018,10 - 11,3853,-2457,2243,-791,-5,-198,546
01/01/2018,11 - 12,3639,-2614,2278,-584,30,-256,572
01/01/2018,12 - 13,3581,-2666,2252,-640,65,-273,614
01/01/2018,13 - 14,3744,-2670,2298,-1098,55,-397,651
01/01/2018,14 - 15,3523,-2597,2445,-777,69,-463,736
01/01/2018,15 - 16,2739,-2502,2518,-637,19,-411,862
01/01/2018,16 - 17,2119,-2511,2433,-339,-28,-392,854
01/01/2018,17 - 18,1247,-2617,2520,-65,-3,-392,818
01/01/2018,18 - 19,1330,-2779,2511,-137,-39,-400,806
01/01/2018,19 - 20,1940,-2888,2433,-190,-45,-419,768
01/01/2018,20 - 21,2531,-3076,2289,-148,-142,-482,741
01/01/2018,21 - 22,2714,-3647,2588,-315,-248,-250,697
01/01/2018,22 - 23,3397,-3581,2645,-224,-240,-133,592
01/01/2018,23 - 00,4136,-2829,2561,-324,-227,-92,629
02/01/2018,00 - 01,4548,-1932,2522,-422,-325,-283,463
02/01/2018,01 - 02,4878,-1986,2412,-418,-346,-215,429
02/01/2018,02 - 03,4491,-2007,2348,-301,-337,-235,560
02/01/2018,03 - 04,4498,-1842,2373,-121,-451,-273,458
02/01/2018,04 - 05,3550,-1490,2506,71,-355,-408,533
02/01/2018,05 - 06,1926,-1083,3142,297,-549,-317,725
02/01/2018,06 - 07,498,-1468,3272,676,-465,-185,916
02/01/2018,07 - 08,-2537,-1758,3211,826,-383,-174,1033
02/01/2018,08 - 09,-3624,-2003,3024,742,-391,-142,1163
02/01/2018,09 - 10,-4017,-2317,2991,883,-367,-307,1228
02/01/2018,10 - 11,-4334,-2173,3060,953,-383,-385,1264
02/01/2018,11 - 12,-4550,-2092,3114,1103,-393,-405,1294
02/01/2018,12 - 13,-4675,-2107,3111,1138,-320,-343,1282
02/01/2018,13 - 14,-4717,-2085,3187,1069,-262,-347,1251
02/01/2018,14 - 15,-5045,-1882,3307,948,-261,-329,1321
02/01/2018,15 - 16,-4926,-1519,3230,931,-237,-566,1154
02/01/2018,16 - 17,-4698,-1404,2946,1081,-256,-593,925
02/01/2018,17 - 18,-4806,-1361,2874,1318,-249,-608,865
02/01/2018,18 - 19,-4929,-1356,3151,943,-276,-654,1253
02/01/2018,19 - 20,-4623,-1424,3210,748,-353,-363,1231
02/01/2018,20 - 21,-3050,-1408,2871,761,-417,-255,1166
02/01/2018,21 - 22,-989,-1265,3366,731,-539,-276,1029
02/01/2018,22 - 23,141,-915,3249,217,-630,-348,907
02/01/2018,23 - 00,510,-315,2654,-208,-643,-332,882
03/01/2018,00 - 01,982,558,2162,-403,-529,-425,787
03/01/2018,01 - 02,2090,404,1882,-756,-494,-447,967
03/01/2018,02 - 03,3116,381,1866,-1148,-410,-441,958
03/01/2018,03 - 04,3251,194,1864,-1045,-360,-424,983
03/01/2018,04 - 05,3237,-3,2131,-1214,-413,-404,957
03/01/2018,05 - 06,1951,-75,2623,-1124,-327,-461,1008
03/01/2018,06 - 07,613,-255,2857,-1144,-333,-346,1230
03/01/2018,07 - 08,14,-737,2992,-796,-218,-227,1306
03/01/2018,08 - 09,-172,-912,2871,-514,-160,-204,1417
03/01/2018,09 - 10,-283,-958,2630,-65,-107,-193,1407
03/01/2018,10 - 11,-1110,-816,2725,559,-116,-245,1403
03/01/2018,11 - 12,-1460,-892,2642,1003,-115,-199,1287
03/01/2018,12 - 13,-1850,-675,2550,1357,-87,-249,1279
03/01/2018,13 - 14,-2401,-458,2690,1660,-106,-255,1228
03/01/2018,14 - 15,-2820,-562,2984,1918,-102,-271,1194
03/01/2018,15 - 16,-3124,-330,2926,1999,-93,-236,1200
03/01/2018,16 - 17,-3282,-327,2830,2278,-161,-239,1251
03/01/2018,17 - 18,-3485,-335,2770,2643,-199,-260,1177
03/01/2018,18 - 19,-3481,-329,2829,2616,-229,-221,1098
03/01/2018,19 - 20,-3093,-360,2741,2507,-281,-253,1025
03/01/2018,20 - 21,-2381,-211,2494,2169,-330,-312,905
03/01/2018,21 - 22,-1850,-551,2944,1867,-388,-323,741
03/01/2018,22 - 23,-1058,-232,3012,1433,-450,-317,609
03/01/2018,23 - 00,-19,-157,2767,1029,-334,-303,531
04/01/2018,00 - 01,760,-258,2446,820,-347,-498,521
04/01/2018,01 - 02,1366,-565,2258,597,-426,-525,707
04/01/2018,02 - 03,2019,-574,2203,255,-384,-532,704
04/01/2018,03 - 04,2215,-721,2264,113,-372,-524,727
04/01/2018,04 - 05,2181,-777,2487,99,-346,-484,581
04/01/2018,05 - 06,1339,-464,3061,361,-247,-387,768
04/01/2018,06 - 07,-825,-371,3034,1006,-262,-344,941
04/01/2018,07 - 08,-2671,-1514,3138,1509,-202,-235,1074
04/01/2018,08 - 09,-3914,-2003,3033,1254,-183,-91,892
04/01/2018,09 - 10,-4228,-2073,2745,1133,-174,-279,1169
04/01/2018,10 - 11,-4746,-1968,2702,1306,-214,-222,1056
04/01/2018,11 - 12,-4916,-1707,2688,1169,-243,542,259
04/01/2018,12 - 13,-4930,-1561,2631,1180,-214,468,208
04/01/2018,13 - 14,-4997,-1788,2670,1377,-228,499,164
04/01/2018,14 - 15,-4992,-1881,2761,1375,-222,517,112
04/01/2018,15 - 16,-4989,-1666,2775,1542,-218,500,-92
04/01/2018,16 - 17,-4861,-1568,2674,1896,-199,-427,741
04/01/2018,17 - 18,-4832,-1437,2646,2327,-226,-440,717
04/01/2018,18 - 19,-5012,-1606,2788,2144,-275,-319,856
04/01/2018,19 - 20,-4922,-1856,2735,1854,-351,-252,1027
04/01/2018,20 - 21,-3955,-2148,2260,1948,-393,-306,957
04/01/2018,21 - 22,-3222,-2070,2568,2122,-406,-314,979
04/01/2018,22 - 23,-2644,-2280,2580,2015,-585,-389,1369
04/01/2018,23 - 00,-824,-1189,2275,1774,-539,-500,1105
05/01/2018,00 - 01,1254,-842,1902,1742,-365,-564,962
05/01/2018,01 - 02,2813,-1219,1571,1750,-382,-583,956
05/01/2018,02 - 03,3673,-1336,1405,1382,-389,-585,1024
05/01/2018,03 - 04,3868,-1224,1363,1073,-366,-570,1049
05/01/2018,04 - 05,3523,-1741,1722,1084,-319,-532,862
05/01/2018,05 - 06,2779,-1687,2312,1347,-336,-508,807
05/01/2018,06 - 07,1033,-1556,2326,1926,-399,-399,974
05/01/2018,07 - 08,-1622,-2152,2536,2427,-303,-280,1078
05/01/2018,08 - 09,-2803,-2535,2652,2323,-245,-264,1133
05/01/2018,09 - 10,-3567,-2619,2491,2362,-210,-304,1134
05/01/2018,10 - 11,-3982,-2450,2441,2214,-223,-434,1125
05/01/2018,11 - 12,-4069,-2515,2367,2224,-225,-392,1121
05/01/2018,12 - 13,-4056,-2620,2380,1929,-231,-366,1193
05/01/2018,13 - 14,-3925,-2792,2455,1528,-275,-360,1186
05/01/2018,14 - 15,-4055,-2935,2670,1422,-214,-195,1112
05/01/2018,15 - 16,-4337,-2678,2818,1321,-206,-248,1130
05/01/2018,16 - 17,-4338,-2499,2825,1599,-222,-335,1130
05/01/2018,17 - 18,-4295,-2513,2778,1832,-248,-357,1083
05/01/2018,18 - 19,-3981,-2817,2804,1645,-223,-298,1027
05/01/2018,19 - 20,-3584,-3097,2484,1455,-179,-236,1006
05/01/2018,20 - 21,-3242,-2713,2011,1622,-187,-291,964
05/01/2018,21 - 22,-3059,-2975,2432,1526,-290,-298,897
05/01/2018,22 - 23,-2641,-2928,2403,1357,-376,-372,838
05/01/2018,23 - 00,-2095,-2558,2158,1444,-409,-447,727
06/01/2018,00 - 01,-1472,-1773,1987,1439,-255,-353,752
06/01/2018,01 - 02,102,-1615,1864,1395,-265,-373,675
06/01/2018,02 - 03,1545,-1635,1825,1316,-279,-384,636
06/01/2018,03 - 04,2239,-1729,1777,1358,-280,-382,637
06/01/2018,04 - 05,1489,-1694,1802,1418,-240,-368,605
06/01/2018,05 - 06,76,-1639,1946,1464,-163,-408,653
06/01/2018,06 - 07,-1079,-1575,1815,1549,-136,-347,796
06/01/2018,07 - 08,-2323,-1859,1850,1685,-51,-363,882
06/01/2018,08 - 09,-2443,-2593,1868,1627,4,-321,1003
06/01/2018,09 - 10,-2717,-2947,1878,1241,-5,-277,1068
06/01/2018,10 - 11,-3244,-2992,1955,1232,-42,-252,1141
06/01/2018,11 - 12,-3473,-2963,1959,1088,-69,-244,1150
06/01/2018,12 - 13,-3227,-3000,1787,1027,-71,-246,1151
06/01/2018,13 - 14,-3105,-3096,1841,963,-78,-254,1155
06/01/2018,14 - 15,-3046,-3275,1972,919,-38,-247,1146
06/01/2018,15 - 16,-3543,-3037,2099,1075,54,-346,1172
06/01/2018,16 - 17,-3830,-2701,1949,1204,13,-315,1202
06/01/2018,17 - 18,-3800,-2615,1939,1151,-18,-331,1195
06/01/2018,18 - 19,-3457,-2900,1878,1096,-27,-298,1202
06/01/2018,19 - 20,-3059,-2952,1592,1090,-85,-238,1171
06/01/2018,20 - 21,-2372,-2919,1270,1084,-129,-277,1053
06/01/2018,21 - 22,-2082,-3125,1406,1124,-187,-351,1031
06/01/2018,22 - 23,-902,-3098,1429,1143,-226,-251,938
06/01/2018,23 - 00,313,-2269,1191,1082,-311,-317,813
07/01/2018,00 - 01,2367,-1744,873,1092,-360,-363,753
07/01/2018,01 - 02,3535,-1462,618,1225,-321,-386,745
07/01/2018,02 - 03,4008,-1432,542,1243,-298,-398,1071
07/01/2018,03 - 04,4289,-1321,475,1136,-291,-387,1072
07/01/2018,04 - 05,4283,-1094,512,1131,-278,-369,761
07/01/2018,05 - 06,3929,-927,599,1233,-262,-421,788
07/01/2018,06 - 07,3518,-823,610,1364,-229,-380,862
07/01/2018,07 - 08,2957,-572,778,1538,-237,-334,841
07/01/2018,08 - 09,2356,-773,920,1683,-182,-293,914
07/01/2018,09 - 10,1571,-908,977,1658,-126,-328,994
07/01/2018,10 - 11,924,-1099,1195,1407,-124,-308,1110
07/01/2018,11 - 12,485,-1620,1429,1262,-128,-310,1160
07/01/2018,12 - 13,586,-2102,1375,1101,-134,-325,1155
07/01/2018,13 - 14,2014,-2390,1424,1038,-107,-396,1143
07/01/2018,14 - 15,2120,-2446,1759,1163,-89,-395,1142
07/01/2018,15 - 16,895,-2205,2259,1307,-9,-326,1207
07/01/2018,16 - 17,-516,-2033,2449,1528,-8,-295,1285
07/01/2018,17 - 18,-2545,-2546,2442,1870,-70,-303,1232
07/01/2018,18 - 19,-3106,-3119,2428,1617,-101,-309,1114
07/01/2018,19 - 20,-2783,-3319,2345,1414,-105,-352,989
07/01/2018,20 - 21,-1761,-3591,2006,1207,-157,-396,844
07/01/2018,21 - 22,-243,-3431,2401,985,-258,-478,730
07/01/2018,22 - 23,131,-3874,2263,882,-322,-492,608
07/01/2018,23 - 00,2530,-3363,1945,633,-383,-494,527
08/01/2018,00 - 01,4758,-2569,1802,594,-345,-702,493
08/01/2018,01 - 02,5582,-2345,1505,673,-372,-718,617
08/01/2018,02 - 03,5692,-2137,1358,625,-418,-722,693
08/01/2018,03 - 04,5381,-1777,1329,794,-458,-706,536
08/01/2018,04 - 05,4698,-1731,1561,1060,-499,-657,664
08/01/2018,05 - 06,2576,-1408,2226,1446,-517,-627,946
08/01/2018,06 - 07,-1019,-1730,2396,1923,-541,-503,1180
08/01/2018,07 - 08,-3092,-1899,2550,2317,-518,-414,1268
08/01/2018,08 - 09,-3468,-1925,2248,2320,-501,-386,1012
08/01/2018,09 - 10,-3398,-1964,2040,2146,-504,-379,1062
08/01/2018,10 - 11,-3570,-1840,2042,1877,-445,-394,1152
08/01/2018,11 - 12,-3660,-1850,2094,1848,-436,-424,1092
08/01/2018,12 - 13,-3644,-1683,1974,1630,-410,-402,1112
08/01/2018,13 - 14,-3584,-1891,1980,1809,-449,-390,1217
08/01/2018,14 - 15,-3776,-2034,2168,2067,-345,-398,1247
08/01/2018,15 - 16,-3932,-1921,2302,2146,-336,-353,1328
08/01/2018,16 - 17,-3849,-1684,2373,2383,-349,-325,989
08/01/2018,17 - 18,-4057,-1683,2410,2465,-376,-362,1002
08/01/2018,18 - 19,-3654,-1773,2487,1716,-403,-424,1335
08/01/2018,19 - 20,-2387,-1699,2476,1388,-440,-465,1315
08/01/2018,20 - 21,-708,-1102,2158,1009,-495,-528,1170
08/01/2018,21 - 22,278,-1485,2300,587,-572,-534,1071
08/01/2018,22 - 23,900,-1648,2262,74,-632,-550,1312
08/01/2018,23 - 00,2354,-1448,1785,-225,-548,-613,1171
09/01/2018,00 - 01,3145,-1429,1506,-457,-397,-650,952
09/01/2018,01 - 02,3466,-1319,1545,-771,-303,-670,1268
09/01/2018,02 - 03,3459,-1274,1411,-860,-354,-674,1387
09/01/2018,03 - 04,3274,-1284,1481,-930,-390,-661,1207
09/01/2018,04 - 05,2794,-1762,1985,-1067,-362,-613,896
09/01/2018,05 - 06,1258,-1478,2550,-1184,-490,-574,1135
09/01/2018,06 - 07,-442,-1554,2990,-1152,-463,-483,1341
09/01/2018,07 - 08,-2509,-1788,2903,-753,-380,-386,1322
09/01/2018,08 - 09,-2716,-1834,2745,-592,-435,-352,1345
09/01/2018,09 - 10,-2665,-2206,2623,-201,-354,-349,1324
09/01/2018,10 - 11,-2658,-2168,2522,-341,-387,-362,1506
09/01/2018,11 - 12,-2588,-2150,2536,-543,-385,-392,1490
09/01/2018,12 - 13,-2469,-1990,2414,-847,-357,-369,1509
09/01/2018,13 - 14,-2493,-1983,2318,-964,-379,-374,1510
09/01/2018,14 - 15,-2316,-1955,2350,-1018,-360,-374,1509
09/01/2018,15 - 16,-2461,-1884,2547,-1124,-334,-345,1396
09/01/2018,16 - 17,-2905,-1927,2677,-1021,-311,-352,1415
09/01/2018,17 - 18,-3445,-2046,2770,-608,-325,-366,1319
09/01/2018,18 - 19,-3303,-2520,3012,-847,-352,-406,1259
09/01/2018,19 - 20,-3131,-2432,3185,-788,-379,-431,1379
09/01/2018,20 - 21,-2605,-1878,2661,-807,-433,-486,1258
09/01/2018,21 - 22,-2102,-2059,2814,-1170,-529,-518,1149
09/01/2018,22 - 23,-1284,-2357,2614,-1015,-619,-532,1048
09/01/2018,23 - 00,-557,-2242,2385,-1022,-676,-592,904
10/01/2018,00 - 01,-862,-2089,2183,-941,-701,-296,1122
10/01/2018,01 - 02,187,-1837,2053,-926,-727,-340,1300
10/01/2018,02 - 03,836,-1655,2007,-683,-751,-315,1311
10/01/2018,03 - 04,877,-1556,2015,-451,-760,-307,1491
10/01/2018,04 - 05,-241,-1713,2523,-128,-732,-334,1329
10/01/2018,05 - 06,-3182,-2033,3205,52,-552,-229,1071
10/01/2018,06 - 07,-4894,-2328,3183,308,-385,-236,1203
10/01/2018,07 - 08,-4904,-1967,3058,421,-271,-472,1156
10/01/2018,08 - 09,-4181,-1819,2734,294,-247,-467,922
10/01/2018,09 - 10,-4036,-1922,2771,536,-256,-517,932
10/01/2018,10 - 11,-4220,-1826,2933,923,-272,-619,960
10/01/2018,11 - 12,-4453,-2154,2865,960,-309,-655,974
10/01/2018,12 - 13,-4227,-2188,2855,964,-284,-633,1185
10/01/2018,13 - 14,-4625,-2065,2752,938,-295,-599,1171
10/01/2018,14 - 15,-5115,-2103,2858,911,-301,-599,1161
10/01/2018,15 - 16,-4810,-2042,3129,654,-266,-569,991
10/01/2018,16 - 17,-4184,-1533,3236,740,-276,-609,988
10/01/2018,17 - 18,-3951,-1318,3264,948,-304,-609,952
10/01/2018,18 - 19,-4526,-1449,3290,939,-330,-637,899
10/01/2018,19 - 20,-4838,-2017,3047,1002,-386,-592,852
10/01/2018,20 - 21,-4685,-2048,2788,985,-451,-627,1137
10/01/2018,21 - 22,-4638,-2070,3140,943,-540,-625,972
10/01/2018,22 - 23,-4761,-1826,3109,1099,-634,-545,869
10/01/2018,23 - 00,-3076,-2306,2878,636,-737,-711,852
11/01/2018,00 - 01,-4542,-1296,2661,1031,-789,-894,1359
11/01/2018,01 - 02,-4008,-1302,2513,957,-803,-911,1397
11/01/2018,02 - 03,-3862,-1295,2502,923,-818,-913,1397
