,ID,Hours,DK1,DK2,DK
01/01/2018,1.00,0,2335,1248,3583
01/01/2018,2.00,1,2332,1204,3536
01/01/2018,3.00,2,2117,1252,3369
01/01/2018,4.00,3,2081,1313,3394
01/01/2018,5.00,4,2093,1296,3389
01/01/2018,6.00,5,2029,1175,3204
01/01/2018,7.00,6,2078,1194,3272
01/01/2018,8.00,7,2080,1280,3360
01/01/2018,9.00,8,2121,1273,3394
01/01/2018,10.00,9,2335,1260,3595
01/01/2018,11.00,10,2767,1346,4113
01/01/2018,12.00,11,2879,1346,4225
01/01/2018,13.00,12,3028,1316,4344
01/01/2018,14.00,13,3199,1392,4591
01/01/2018,15.00,14,3054,1400,4454
01/01/2018,16.00,15,3031,1390,4421
01/01/2018,17.00,16,3024,1385,4409
01/01/2018,18.00,17,3075,1357,4432
01/01/2018,19.00,18,3028,1318,4346
01/01/2018,20.00,19,2956,1288,4244
01/01/2018,21.00,20,2584,1257,3841
01/01/2018,22.00,21,2510,1242,3752
01/01/2018,23.00,22,2374,1175,3549
01/01/2018,24.00,23,2347,1085,3432
02/01/2018,25.00,0,2273,1022,3295
02/01/2018,26.00,1,2202,976,3178
02/01/2018,27.00,2,2081,895,2976
02/01/2018,28.00,3,2018,830,2848
02/01/2018,29.00,4,1966,778,2744
02/01/2018,30.00,5,1961,779,2740
02/01/2018,31.00,6,2041,836,2877
02/01/2018,32.00,7,2408,949,3357
02/01/2018,33.00,8,2903,1093,3996
02/01/2018,34.00,9,2773,1161,3934
02/01/2018,35.00,10,2726,1212,3938
02/01/2018,36.00,11,2515,1260,3775
02/01/2018,37.00,12,2343,1286,3629
02/01/2018,38.00,13,2420,1286,3706
02/01/2018,39.00,14,2548,1270,3818
02/01/2018,40.00,15,2545,1264,3809
02/01/2018,41.00,16,2706,1219,3925
02/01/2018,42.00,17,2823,1262,4085
02/01/2018,43.00,18,2900,1297,4197
02/01/2018,44.00,19,2672,1218,3890
02/01/2018,45.00,20,2407,1180,3587
02/01/2018,46.00,21,2237,1104,3341
02/01/2018,47.00,22,2422,1145,3567
02/01/2018,48.00,23,2564,1152,3716
03/01/2018,49.00,0,2728,1030,3758
03/01/2018,50.00,1,2860,1082,3942
03/01/2018,51.00,2,2916,1148,4064
03/01/2018,52.00,3,2888,1136,4024
03/01/2018,53.00,4,3040,1202,4242
03/01/2018,54.00,5,3223,1366,4589
03/01/2018,55.00,6,3702,1421,5123
03/01/2018,56.00,7,3964,1519,5483
03/01/2018,57.00,8,3979,1594,5573
03/01/2018,58.00,9,3589,1578,5167
03/01/2018,59.00,10,3176,1477,4653
03/01/2018,60.00,11,2674,1387,4061
03/01/2018,61.00,12,2391,1302,3693
03/01/2018,62.00,13,2211,1205,3416
03/01/2018,63.00,14,1995,1151,3146
03/01/2018,64.00,15,1964,1065,3029
03/01/2018,65.00,16,1864,1103,2967
03/01/2018,66.00,17,1763,1087,2850
03/01/2018,67.00,18,1773,921,2694
03/01/2018,68.00,19,1584,917,2501
03/01/2018,69.00,20,1480,1026,2506
03/01/2018,70.00,21,1497,930,2427
03/01/2018,71.00,22,1602,924,2526
03/01/2018,72.00,23,1724,847,2571
04/01/2018,73.00,0,1760,868,2628
04/01/2018,74.00,1,1738,896,2634
04/01/2018,75.00,2,1813,1089,2902
04/01/2018,76.00,3,1877,1192,3069
04/01/2018,77.00,4,1891,1223,3114
04/01/2018,78.00,5,1928,1207,3135
04/01/2018,79.00,6,1928,1212,3140
04/01/2018,80.00,7,2085,1226,3311
04/01/2018,81.00,8,2531,1352,3883
04/01/2018,82.00,9,2574,1434,4008
04/01/2018,83.00,10,2539,1348,3887
04/01/2018,84.00,11,2614,1348,3962
04/01/2018,85.00,12,2544,1290,3834
04/01/2018,86.00,13,2517,1281,3798
04/01/2018,87.00,14,2479,1252,3731
04/01/2018,88.00,15,2317,1211,3528
04/01/2018,89.00,16,2228,1166,3394
04/01/2018,90.00,17,2200,1100,3300
04/01/2018,91.00,18,2169,1080,3249
04/01/2018,92.00,19,2155,1054,3209
04/01/2018,93.00,20,1749,980,2729
04/01/2018,94.00,21,1407,845,2252
04/01/2018,95.00,22,1138,853,1991
04/01/2018,96.00,23,982,870,1852
05/01/2018,97.00,0,852,826,1678
05/01/2018,98.00,1,848,754,1602
05/01/2018,99.00,2,1068,806,1874
05/01/2018,#####,3,1093,1072,2165
05/01/2018,#####,4,1077,1149,2226
05/01/2018,#####,5,1065,1142,2207
05/01/2018,#####,6,1161,1141,2302
05/01/2018,#####,7,1205,1169,2374
05/01/2018,#####,8,1611,1267,2878
05/01/2018,#####,9,1652,1246,2898
05/01/2018,#####,10,1811,1269,3080
05/01/2018,#####,11,1897,1153,3050
05/01/2018,#####,12,1989,1254,3243
05/01/2018,#####,13,2158,1364,3522
05/01/2018,#####,14,2096,1313,3409
05/01/2018,#####,15,2137,1270,3407
05/01/2018,#####,16,2176,1256,3432
05/01/2018,#####,17,2188,1345,3533
05/01/2018,#####,18,2143,1312,3455
05/01/2018,#####,19,2058,1244,3302
05/01/2018,#####,20,1768,1048,2816
05/01/2018,#####,21,1638,954,2592
05/01/2018,#####,22,1539,933,2472
05/01/2018,#####,23,1279,920,2199
06/01/2018,#####,0,1030,817,1847
06/01/2018,#####,1,1045,777,1822
06/01/2018,#####,2,1013,812,1825
06/01/2018,#####,3,998,787,1785
06/01/2018,#####,4,999,752,1751
06/01/2018,#####,5,1020,751,1771
06/01/2018,#####,6,1121,806,1927
06/01/2018,#####,7,1218,829,2047
06/01/2018,#####,8,1509,915,2424
06/01/2018,#####,9,1995,1114,3109
06/01/2018,#####,10,2093,1119,3212
06/01/2018,#####,11,2223,1101,3324
06/01/2018,#####,12,2199,1105,3304
