Hours,DK
01/01/2019 00:00,0
01/01/2019 01:00,0
01/01/2019 02:00,0
01/01/2019 03:00,0
01/01/2019 04:00,0
01/01/2019 05:00,0
01/01/2019 06:00,0
01/01/2019 07:00,0
01/01/2019 08:00,0
01/01/2019 09:00,0.024
01/01/2019 10:00,0.088
01/01/2019 11:00,0.17
01/01/2019 12:00,0.204
01/01/2019 13:00,0.179
01/01/2019 14:00,0.083
01/01/2019 15:00,0.009
01/01/2019 16:00,0
01/01/2019 17:00,0
01/01/2019 18:00,0
01/01/2019 19:00,0
01/01/2019 20:00,0
01/01/2019 21:00,0
01/01/2019 22:00,0
01/01/2019 23:00,0
02/01/2019 00:00,0
02/01/2019 01:00,0
02/01/2019 02:00,0
02/01/2019 03:00,0
02/01/2019 04:00,0
02/01/2019 05:00,0
02/01/2019 06:00,0
02/01/2019 07:00,0
02/01/2019 08:00,0
02/01/2019 09:00,0.114
02/01/2019 10:00,0.287
02/01/2019 11:00,0.393
02/01/2019 12:00,0.418
02/01/2019 13:00,0.354
02/01/2019 14:00,0.212
02/01/2019 15:00,0.047
02/01/2019 16:00,0
02/01/2019 17:00,0
02/01/2019 18:00,0
02/01/2019 19:00,0
02/01/2019 20:00,0
02/01/2019 21:00,0
02/01/2019 22:00,0
02/01/2019 23:00,0
03/01/2019 00:00,0
03/01/2019 01:00,0
03/01/2019 02:00,0
03/01/2019 03:00,0
03/01/2019 04:00,0
03/01/2019 05:00,0
03/01/2019 06:00,0
03/01/2019 07:00,0
03/01/2019 08:00,0
03/01/2019 09:00,0.081
03/01/2019 10:00,0.151
03/01/2019 11:00,0.162
03/01/2019 12:00,0.151
03/01/2019 13:00,0.119
03/01/2019 14:00,0.077
03/01/2019 15:00,0.011
03/01/2019 16:00,0
03/01/2019 17:00,0
03/01/2019 18:00,0
03/01/2019 19:00,0
03/01/2019 20:00,0
03/01/2019 21:00,0
03/01/2019 22:00,0
03/01/2019 23:00,0
04/01/2019 00:00,0
04/01/2019 01:00,0
04/01/2019 02:00,0
04/01/2019 03:00,0
04/01/2019 04:00,0
04/01/2019 05:00,0
04/01/2019 06:00,0
04/01/2019 07:00,0
04/01/2019 08:00,0
04/01/2019 09:00,0.007
04/01/2019 10:00,0.045
04/01/2019 11:00,0.148
04/01/2019 12:00,0.18
04/01/2019 13:00,0.128
04/01/2019 14:00,0.042
04/01/2019 15:00,0.002
04/01/2019 16:00,0
04/01/2019 17:00,0
04/01/2019 18:00,0
04/01/2019 19:00,0
04/01/2019 20:00,0
