,Hours,DK1,DK2,DK
01/01/2018,00 - 01,1729,649,2378
01/01/2018,01 - 02,1763,613,2376
01/01/2018,02 - 03,1508,663,2171
01/01/2018,03 - 04,1514,723,2237
01/01/2018,04 - 05,1523,713,2236
01/01/2018,05 - 06,1493,703,2196
01/01/2018,06 - 07,1578,727,2305
01/01/2018,07 - 08,1529,753,2282
01/01/2018,08 - 09,1651,758,2409
01/01/2018,09 - 10,1839,758,2597
01/01/2018,10 - 11,2208,771,2979
01/01/2018,11 - 12,2248,774,3022
01/01/2018,12 - 13,2344,773,3117
01/01/2018,13 - 14,2590,780,3370
01/01/2018,14 - 15,2514,777,3291
01/01/2018,15 - 16,2340,755,3095
01/01/2018,16 - 17,2053,741,2794
01/01/2018,17 - 18,1855,694,2549
01/01/2018,18 - 19,1751,651,2402
01/01/2018,19 - 20,1739,632,2371
01/01/2018,20 - 21,1721,603,2324
01/01/2018,21 - 22,1745,592,2337
01/01/2018,22 - 23,1601,530,2131
01/01/2018,23 - 00,1549,460,2009
02/01/2018,00 - 01,1468,434,1902
02/01/2018,01 - 02,1406,391,1797
02/01/2018,02 - 03,1343,308,1651
02/01/2018,03 - 04,1227,235,1462
02/01/2018,04 - 05,1206,192,1398
02/01/2018,05 - 06,1106,173,1279
02/01/2018,06 - 07,1096,185,1281
02/01/2018,07 - 08,1160,204,1364
02/01/2018,08 - 09,1120,202,1322
02/01/2018,09 - 10,1043,213,1256
02/01/2018,10 - 11,977,214,1191
02/01/2018,11 - 12,842,242,1084
02/01/2018,12 - 13,757,254,1011
02/01/2018,13 - 14,804,289,1093
02/01/2018,14 - 15,787,293,1080
02/01/2018,15 - 16,771,289,1060
02/01/2018,16 - 17,854,233,1087
02/01/2018,17 - 18,939,272,1211
02/01/2018,18 - 19,1000,311,1311
02/01/2018,19 - 20,1153,301,1454
02/01/2018,20 - 21,1236,313,1549
02/01/2018,21 - 22,1326,331,1657
02/01/2018,22 - 23,1529,416,1945
02/01/2018,23 - 00,1795,444,2239
03/01/2018,00 - 01,1970,439,2409
03/01/2018,01 - 02,2267,532,2799
03/01/2018,02 - 03,2543,574,3117
03/01/2018,03 - 04,2411,601,3012
03/01/2018,04 - 05,2601,667,3268
03/01/2018,05 - 06,2718,828,3546
03/01/2018,06 - 07,3077,832,3909
03/01/2018,07 - 08,2942,828,3770
03/01/2018,08 - 09,2765,831,3596
03/01/2018,09 - 10,2446,772,3218
03/01/2018,10 - 11,1972,689,2661
03/01/2018,11 - 12,1691,625,2316
03/01/2018,12 - 13,1352,540,1892
03/01/2018,13 - 14,980,441,1421
03/01/2018,14 - 15,750,373,1123
03/01/2018,15 - 16,465,319,784
03/01/2018,16 - 17,289,384,673
03/01/2018,17 - 18,262,326,588
03/01/2018,18 - 19,280,138,418
03/01/2018,19 - 20,306,128,434
03/01/2018,20 - 21,398,232,630
03/01/2018,21 - 22,559,179,738
03/01/2018,22 - 23,720,181,901
03/01/2018,23 - 00,856,119,975
04/01/2018,00 - 01,859,132,991
04/01/2018,01 - 02,903,175,1078
04/01/2018,02 - 03,975,382,1357
04/01/2018,03 - 04,1024,545,1569
04/01/2018,04 - 05,1093,578,1671
04/01/2018,05 - 06,1081,535,1616
04/01/2018,06 - 07,999,520,1519
04/01/2018,07 - 08,849,511,1360
04/01/2018,08 - 09,769,518,1287
04/01/2018,09 - 10,707,529,1236
04/01/2018,10 - 11,647,468,1115
04/01/2018,11 - 12,619,401,1020
04/01/2018,12 - 13,602,317,919
04/01/2018,13 - 14,532,297,829
04/01/2018,14 - 15,411,241,652
04/01/2018,15 - 16,279,214,493
04/01/2018,16 - 17,178,182,360
04/01/2018,17 - 18,108,123,231
04/01/2018,18 - 19,96,124,220
04/01/2018,19 - 20,99,116,215
04/01/2018,20 - 21,113,110,223
04/01/2018,21 - 22,103,127,230
04/01/2018,22 - 23,98,150,248
04/01/2018,23 - 00,107,173,280
05/01/2018,00 - 01,143,135,278
05/01/2018,01 - 02,177,97,274
05/01/2018,02 - 03,232,154,386
05/01/2018,03 - 04,223,419,642
05/01/2018,04 - 05,195,475,670
